,file,ori,pre
0,401884314_.wav,0,0
1,401824043_.wav,0,0
2,401689007_.wav,1,1
3,401499352_.wav,1,1
4,401360376_.wav,0,1
5,401352396_.wav,0,0
6,401495336_.wav,1,1
7,401243844_.wav,0,0
8,401460379_.wav,0,1
9,401243913_.wav,1,1
10,401164850_.wav,1,1
11,401530910_.wav,0,0
12,401606771_.wav,0,1
13,401239614_.wav,0,0
14,401651277_.wav,0,0
15,401417557_.wav,0,1
16,401155343_.wav,0,0
17,401693993_.wav,1,1
18,401257373_.wav,0,0
19,401892307_.wav,0,0
20,401659076_.wav,1,1
21,401133607_.wav,1,1
22,401745278_.wav,1,1
23,401441563_.wav,0,0
24,401426903_.wav,0,0
25,401277100_.wav,1,1
26,401277369_.wav,0,0
27,401161496_.wav,1,1
28,401856319_.wav,1,1
29,401261430_.wav,0,0
30,401846362_.wav,0,0
31,401899446_.wav,0,0
32,401537614_.wav,1,1
33,401720210_.wav,1,1
34,401763745_.wav,1,1
35,401504407_.wav,0,1
36,401847570_.wav,0,1
37,401322061_.wav,0,1
38,401292929_.wav,0,0
39,401731239_.wav,1,1
40,401184015_.wav,1,1
41,401683874_.wav,1,1
42,401143394_.wav,0,1
43,401494244_.wav,1,1
44,401474232_.wav,0,1
45,401597691_.wav,0,0
46,401873507_.wav,1,1
47,401377872_.wav,1,1
48,401113263_.wav,1,1
49,401082559_.wav,1,1
50,401741176_.wav,0,1
51,401115469_.wav,0,1
52,401212236_.wav,1,1
53,401541389_.wav,1,1
54,401298853_.wav,0,0
55,401759247_.wav,0,0
56,401150133_.wav,0,0
57,401870292_.wav,1,1
58,401702920_.wav,0,1
59,401639901_.wav,1,1
60,401747185_.wav,0,1
61,401248098_.wav,0,1
62,401330533_.wav,0,0
63,401899799_.wav,1,1
64,401240758_.wav,0,0
65,401109973_.wav,0,0
66,401414241_.wav,1,0
67,401891841_.wav,0,0
68,401221334_.wav,0,0
69,401870182_.wav,1,1
70,401144221_.wav,1,1
71,401512512_.wav,1,1
72,401180947_.wav,1,1
73,401242600_.wav,1,0
74,401106165_.wav,0,1
75,401113515_.wav,0,0
76,401793469_.wav,1,1
77,401574343_.wav,0,0
78,401214142_.wav,1,1
79,401172732_.wav,1,1
80,401482650_.wav,1,1
81,401873351_.wav,0,0
82,401674944_.wav,0,0
83,401209452_.wav,1,1
84,401843171_.wav,0,0
85,401614447_.wav,0,1
86,401299958_.wav,1,1
87,401485910_.wav,0,0
88,401390201_.wav,1,1
89,401190930_.wav,0,0
90,401148371_.wav,0,0
91,401774613_.wav,0,1
92,401889829_.wav,1,1
93,401887526_.wav,1,1
94,401208962_.wav,0,0
95,401147623_.wav,1,1
96,401245070_.wav,1,1
97,401486025_.wav,1,0
98,401274966_.wav,1,1
99,401723627_.wav,1,1
100,401682064_.wav,0,0
101,401920062_.wav,0,1
102,401900868_.wav,1,1
103,401557710_.wav,1,1
104,401475907_.wav,1,1
105,401189921_.wav,1,1
106,401822103_.wav,0,0
107,401318826_.wav,0,0
108,401581685_.wav,1,1
109,401393261_.wav,1,1
110,401145853_.wav,1,0
111,401786430_.wav,1,1
112,401170614_.wav,0,0
113,401882687_.wav,1,1
114,401222727_.wav,0,1
115,401197666_.wav,0,0
116,401658542_.wav,0,1
117,401414979_.wav,0,1
118,401823597_.wav,1,1
119,401532930_.wav,0,0
120,401970176_.wav,1,1
121,401456831_.wav,0,0
122,401922868_.wav,0,1
123,401826697_.wav,1,1
124,401818563_.wav,1,1
125,401162794_.wav,0,1
126,401901012_.wav,0,1
127,401731367_.wav,1,1
128,401163509_.wav,1,1
129,401843952_.wav,0,1
130,401966062_.wav,1,0
131,401841500_.wav,0,1
132,401646326_.wav,0,0
133,401457582_.wav,1,1
134,401979438_.wav,1,0
135,401160735_.wav,1,1
136,401260145_.wav,0,1
137,401910035_.wav,1,1
138,401809751_.wav,1,1
139,401220535_.wav,1,1
140,401558049_.wav,1,1
141,401267566_.wav,1,1
142,401797633_.wav,1,1
143,401219480_.wav,1,1
144,401252560_.wav,1,0
145,401156174_.wav,0,1
146,401450167_.wav,0,1
147,401466414_.wav,1,1
148,401103109_.wav,0,0
149,401586325_.wav,1,1
150,401776543_.wav,0,0
151,401752197_.wav,1,1
152,401570769_.wav,1,1
153,401399405_.wav,0,0
154,401300444_.wav,0,1
155,401093573_.wav,0,0
156,401646418_.wav,0,0
157,401252771_.wav,1,1
158,401190064_.wav,1,1
159,401420327_.wav,0,1
160,401965260_.wav,1,1
161,401421235_.wav,1,1
162,401344682_.wav,0,0
163,401742404_.wav,0,1
164,401312867_.wav,0,0
165,401141811_.wav,0,1
166,401814753_.wav,1,1
167,401433953_.wav,1,1
168,401369630_.wav,1,1
169,401439687_.wav,1,1
170,401237769_.wav,1,1
171,401758368_.wav,1,1
172,401654717_.wav,0,0
173,401905022_.wav,0,0
174,401900224_.wav,1,1
175,401264997_.wav,1,1
176,401310120_.wav,0,1
177,401399936_.wav,1,1
178,401621924_.wav,0,0
179,401110827_.wav,1,1
180,401586433_.wav,1,1
181,401523214_.wav,1,1
182,401584051_.wav,1,1
183,401827746_.wav,1,1
184,401194546_.wav,1,1
185,401414414_.wav,0,1
186,401750522_.wav,0,0
187,401444905_.wav,0,1
188,401589917_.wav,0,0
189,401792916_.wav,0,0
190,401686434_.wav,0,0
191,401875988_.wav,1,1
192,401198960_.wav,0,0
193,401518835_.wav,1,1
194,401073957_.wav,1,1
195,401474276_.wav,1,1
196,401681599_.wav,0,1
197,401299173_.wav,0,0
198,401181340_.wav,0,0
199,401430604_.wav,1,1
200,401072189_.wav,0,0
201,401188207_.wav,1,1
202,401205497_.wav,1,0
203,401563255_.wav,1,1
204,401111965_.wav,1,1
205,401641311_.wav,1,1
206,401360078_.wav,1,0
207,401612139_.wav,0,0
208,401279002_.wav,1,1
209,401102697_.wav,1,1
210,401206066_.wav,1,1
211,401800213_.wav,1,1
212,401302149_.wav,0,0
213,401769686_.wav,0,1
214,401692905_.wav,0,0
215,401653705_.wav,1,1
216,401343764_.wav,0,0
217,401890932_.wav,1,0
218,401760820_.wav,1,1
219,401542890_.wav,1,1
220,401501578_.wav,0,0
221,401832137_.wav,0,0
222,401215290_.wav,1,1
223,401305791_.wav,0,0
224,401787927_.wav,0,0
225,401208712_.wav,1,1
226,401243845_.wav,0,1
227,401716192_.wav,0,0
228,401819674_.wav,1,1
229,401788095_.wav,0,0
230,401504733_.wav,1,1
231,401276378_.wav,0,1
232,401234443_.wav,0,1
233,401217117_.wav,1,1
234,401843499_.wav,1,0
235,401500482_.wav,1,1
236,401622692_.wav,0,0
237,401343862_.wav,1,1
238,401774777_.wav,1,1
239,401141166_.wav,0,0
240,401216327_.wav,1,0
241,401887087_.wav,0,0
242,401184529_.wav,1,1
243,401723997_.wav,1,1
244,401792886_.wav,0,0
245,401762636_.wav,0,0
246,401189120_.wav,1,1
247,401921855_.wav,1,1
248,401451773_.wav,0,0
249,401212137_.wav,1,1
250,401861195_.wav,0,0
251,401757673_.wav,1,1
252,401967828_.wav,0,1
253,401514074_.wav,0,0
254,401713367_.wav,1,1
255,401805503_.wav,1,1
256,401149490_.wav,0,1
257,401743681_.wav,0,0
258,401486341_.wav,1,1
259,401457736_.wav,1,1
260,401812900_.wav,0,0
261,401463771_.wav,1,1
262,401610180_.wav,0,0
263,401488037_.wav,1,1
264,401453124_.wav,0,0
265,401192900_.wav,1,1
266,401611595_.wav,1,1
267,401795793_.wav,1,1
268,401753176_.wav,1,1
269,401711441_.wav,1,1
270,401866135_.wav,0,1
271,401686233_.wav,0,1
272,401675552_.wav,1,0
273,401303697_.wav,0,0
274,401554809_.wav,0,1
275,401778612_.wav,0,0
276,401315274_.wav,0,0
